49,Secrets,"The Weeknd",1005170,https://open.spotify.com/track/00NAQYOP4AmWR549nnYJZu
50,"All Night","The Vamps",965993,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW
51,Caroline,Aminé,959904,https://open.spotify.com/track/5GFDrUTLGJix84sNhjCG0g
52,Alone,"Alan Walker",944482,https://open.spotify.com/track/3ujORpm8Hf7QWEtfqSAZL8
53,Redbone,"Childish Gambino",943567,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y
54,Capsize,FRENSHIP,921208,https://open.spotify.com/track/3GBlLqIYgB8zWaeWDNJzdh
55,"i hate u, i love u (feat. olivia o'brien)",gnash,920383,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe
56,"This Is What You Came For","Calvin Harris",891389,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y
57,"True Colors","The Weeknd",881896,https://open.spotify.com/track/1oGdVdYjeQvojGKDddxLQQ
58,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",881121,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl
59,"Setting Fires","The Chainsmokers",877566,https://open.spotify.com/track/0B8B8cVRFIG1yznoQe7c9s
60,"Die For You","The Weeknd",876188,https://open.spotify.com/track/2Ch7LmS7r2Gy2kc64wv3Bz
61,"Too Good",Drake,853975,https://open.spotify.com/track/11KJSRSgaDxqydKYiD2Jew
62,"Juju On That Beat (TZ Anthem)","Zay Hilfigerrr",851210,https://open.spotify.com/track/1lItf5ZXJc1by9SbPeljFd
63,"I Would Like","Zara Larsson",849761,https://open.spotify.com/track/0HVj61S4pQJdQhgZP61G65
64,"Now and Later","Sage The Gemini",829408,https://open.spotify.com/track/43jBqV3j3Xi1g6wO0bhIMd
65,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","Lil Wayne",815267,https://open.spotify.com/track/4dASQiO1Eoo3RJvt74FtXB
66,Alarm,Anne-Marie,810683,https://open.spotify.com/track/0OwX5aROoW1Iip8FV51Efg
67,"Bad and Boujee",Migos,802632,https://open.spotify.com/track/1FvU97lrWOG2NRxErh6OZz
68,"Last Christmas",Wham!,798551,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
69,"Trust Nobody","Cashmere Cat",795413,https://open.spotify.com/track/2RlcBZiskvuupu6pG8bsNe
70,"Shed A Light (feat. Cheat Codes)","Robin Schulz",775512,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY
71,"False Alarm","The Weeknd",769629,https://open.spotify.com/track/4oeaIftdpT3JuZLcCkKmVE
72,"You & Me","Marc E. Bassy",766197,https://open.spotify.com/track/4QdovcM8j50QPlyR7tH4xe
73,"Hymn For The Weekend - Seeb Remix",Coldplay,763698,https://open.spotify.com/track/6s3GEN8wK0OMzzzZbXj0fu
74,"Lot To Learn","Luke Christopher",757545,https://open.spotify.com/track/3TRFq09DUgYj1mug6RRqJW
75,"Stressed Out","Twenty One Pilots",755016,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
76,Human,"Rag'n'Bone Man",746190,https://open.spotify.com/track/3erAiWBiKsbVG39cqCrsI0
77,"Love Yourself","Justin Bieber",740214,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
78,"Chill Bill","Rob $tone",737665,https://open.spotify.com/track/5uDASfU19gDxSjW8cnCaBp
79,Traicionera,"Sebastian Yatra",733984,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT
80,"Bounce Back","Big Sean",731188,https://open.spotify.com/track/206uaQyzb8kOiZ7rHw9wCn
81,"The Ocean","Mike Perry",729715,https://open.spotify.com/track/2CPqh63wRVscbceKcPxwvv
82,Controlla,Drake,720437,https://open.spotify.com/track/4CpKEkdGbOJV51cSvx7SoG
83,Sneakin’,Drake,716885,https://open.spotify.com/track/4ckuS4Nj4FZ7i3Def3Br8W
84,"It's Beginning To Look A Lot Like Christmas","Michael Bublé",710756,https://open.spotify.com/track/5a1iz510sv2W9Dt1MvFd5R
85,Panda,Desiigner,710449,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h
86,Faded,"Alan Walker",710402,https://open.spotify.com/track/1brwdYwjltrJo7WHpIvbYt
87,"Work from Home","Fifth Harmony",710015,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb
88,"X (feat. Future)","21 Savage",707716,https://open.spotify.com/track/6fwdbPMwP1zVStm8FybmkO
89,"All I Know","The Weeknd",707353,https://open.spotify.com/track/0NWqNXBJTpXbkI5rPWNy3p
90,"This Town","Niall Horan",705199,https://open.spotify.com/track/5nA67Y0XX9JipZwYxX7Gl7
91,"Water Under the Bridge",Adele,698876,https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y
92,Sorry,"Justin Bieber",696879,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
93,"A Lonely Night","The Weeknd",694713,https://open.spotify.com/track/0ifooM33X1iBxVYyOkSbXW
94,"Send My Love (To Your New Lover)",Adele,682311,https://open.spotify.com/track/4BHzQ9C00ceJxfG16AlNWb
95,Work,Rihanna,669951,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v
96,Attention,"The Weeknd",668467,https://open.spotify.com/track/6pDVjCUA3B1vg9waKutAsv
97,"Needed Me",Rihanna,665841,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm
98,"Ordinary Life","The Weeknd",655907,https://open.spotify.com/track/15k2nBQJ0teDmPZHrOXL2N
99,"La Bicicleta","Carlos Vives",649770,https://open.spotify.com/track/43it4kot08akLzFIEMhXNN
100,"Love On Me",Galantis,645245,https://open.spotify.com/track/2MHCiOohBZEQuLgDTPvSzF
101,"Love To Lay","The Weeknd",644379,https://open.spotify.com/track/27BgDmciSjoxTG0almHTpZ
102,"Ain't My Fault","Zara Larsson",641753,https://open.spotify.com/track/4nA0biSjtvOL41Hd9MBXqR
103,"Steady 1234 (feat. Jasmine Thompson & Skizzy Mars)",Vice,639750,https://open.spotify.com/track/40UroIGvsMPLPBYwH8rMNA
104,"Sunset Lover","Petit Biscuit",619999,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1
105,"Into You","Ariana Grande",619078,https://open.spotify.com/track/7yHEDfrJNd0zWOfXwydNH0
106,"I Got You","Bebe Rexha",616170,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i
107,"Light It Up (feat. Nyla & Fuse ODG) - Remix","Major Lazer",615813,https://open.spotify.com/track/6lDo13SSgTv0WbyUQKgnjk
108,Mistletoe,"Justin Bieber",612345,https://open.spotify.com/track/32OWobmyAz8J2qA8iWekyS
